Parameter,annoyance_PA_mu_star,annoyance_PA_sigma,loudness_sone_mu_star,loudness_sone_sigma,sharpness_acum_mu_star,sharpness_acum_sigma,roughness_asper_mu_star,roughness_asper_sigma,fluctuation_vacil_mu_star,fluctuation_vacil_sigma
R_rotor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_arm,99.09522604446413,140.14181263850872,58.04175000000005,82.08343003386867,0.22339907681750693,0.3159340042569472,3.6797401845433453,5.2039384749904745,0.05064051713276109,0.07161650613473781
vz_max,105.29942430580132,148.91587396334336,77.083875,109.01306146527237,0.9292520189152289,0.42450251041671944,2.346328732344926,3.318209915067866,0.29289523814520013,0.41421641813943955
t_climb,113.79165520345664,95.21927648868461,102.09187500000004,43.73897383377045,1.1209270532024667,0.2897930719971594,3.8420866816791497,5.433531093043694,0.08830051400702005,0.10503043996698322
vx_max,90.21656346280602,127.58548759979331,56.30099999999999,79.6216377751676,0.1118101411450727,0.15812341801821184,3.0573766907822644,4.323783581387651,0.07310457470493767,0.10338548101923996
vy_max,1.4297217276748597e-05,2.0219318576972793e-05,0.0,0.0,1.6357915055831285e-06,2.3133585324103647e-06,1.192330643551287e-06,1.6862101669432706e-06,3.3320606940279163e-07,4.712245424144587e-07
Kp_vel,114.36579257241245,161.73765492745386,94.46512499999997,133.59386094626967,0.023506892579338023,0.0332437662949473,1.4160601770588992,2.0026115075331417,0.10528645016460798,0.1488975257569076
Ki_vel,20.730352090972218,11.32052728664635,10.10549999999995,5.837873585476036,0.30826667364422833,0.0980644632716364,2.4217526852561995,1.0061386421762626,0.0033786610507964415,0.004135094276824703
Kp_att,90.50991627592171,5.228016677290124,51.91987500000012,0.8851209133503722,0.3494943327273523,0.49425962531555667,2.584275947341965,0.007796672323320527,0.05750897689732894,0.08132997508640358
Kd_att,641.1552968818182,210.37035698191227,568.651875,190.22781081845326,136.71351318556896,0.044484952182456565,142.92743524219196,1.1648524783036116,147.79930673861037,0.12946377044419674
Kp_alt,99.78512607906583,141.11747862412412,49.19250000000011,69.56870066703864,0.07829078019796953,0.11071988316473946,4.087367629305881,5.780410735769141,0.03425677527727136,0.0484463962002845
Kd_alt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor_bandwidth_hz,53.62373008716156,75.83540635429807,38.037000000000006,53.792441271985425,0.42064861673425336,0.5948869787790632,0.9175824846733538,1.2723350284646837,0.0265157686929788,0.03749895970235854
parameter2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parameter3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
